timestamp,time,steps,backtracks,algorithm
1778657698.0045521,5.504226446151733,70,25,classic
1778657728.3415394,2.7351343631744385,47,2,mrv
1778657735.7178125,2.870605707168579,47,2,mrv
1778657748.6052535,2.8850412368774414,51,0,mrv
1778657975.9752066,4.817336082458496,70,25,classic
1778673091.453263,19.293442010879517,217,159,mrv
1778673119.1223388,5.2159740924835205,70,25,classic
1778673509.9392173,19.424326419830322,217,159,mrv
1779102207.3357646,2.0253782272338867,47,2,mrv
